Sr.,NAME,ADDRESS,CONTACT,DISCOUNT,CITY,PROVINCE
1,Excel Lab,CMH Road Rawalla Kot Azad Kashmir,05824-445-942,20%,Azad Kashmir,Azad Kashmir
2,Excel lab Mirpur,"Excel Lab, Allama Iqbal Road",05827-446781,20%,Mirpur,Azad Kashmir
3,Excel Lab Muzaffarabad,Excel lab CMH Road,05822-4468870,20%,Muzaffarabad,Azad Kashmir
4,Mughal Diagnostics and Research Labs,"Phulgran Stop, Near Toll Plaza. Islamabad – Murree Expressway",051-4481100,10%,Islamabad,Islamabad
5,Mughal Diagnostics and Research Labs,"Crescent Arcade, G-8 Markaz Islamabad, 44000, Pakistan",051-2266130,10%,Islamabad,Islamabad
6,Shaukat Khanum Momorial Cancer H,"2 – Royal Centre, 106-West Fazal e Haq Road, Blue Area,",051 2348276,10%,Islamabad,Islamabad
7,Fatima Medical Laboratory (pvt) Ltd. (Main Lab),"Office#04, Royal Center, Fazal-e-Haq Road, Blue Area, Islamabad.",92-51-8445884/5,35% Routine & Special Test(s) 20% on Radiology 15% on CT Scan & MRI.,Islamabad,Islamabad
8,Fatima Medical Laboratory (pvt) Ltd. (Stat Lab),"Opp. National Police Foundation, Main Double Road.",92-51-5194571,35% Routine & Special Test(s) 20% on Radiology 15% on CT Scan & MRI.,Islamabad,Islamabad
9,Excel laboratory,"Diagnositc Unit,PWD Society,",051-5708335,20%,Islamabad,Islamabad
10,Excel laboratory,"Excel lab, G-9 Markaz,",051-2284410,20%,Islamabad,Islamabad
11,Excel laboratory,"Excel Lab,G-15 Markaz,",051-2328189,20%,Islamabad,Islamabad
12,Excel Laboratory Islamabad,"Excel Lab, E-11 Markaz,",051-2318210,20%,Islamabad,Islamabad
13,Excel Laboratory Islamabad,"Excel Lab, Bara Kahu,",051-2322154,20%,Islamabad,Islamabad
14,Excel Laboratory Islamabad,"Excel Lab, Tariayal",051-2616044,20%,Islamabad,Islamabad
15,Excel Laboratory Islamabad,"Excel lab,Dimplomatic Enclave",051-2832028,20%,Islamabad,Islamabad
16,Shifa International,"H-8/4, Islamabad",051-8463000,7% Clinical Services only,Islamabad,Islamabad
17,Shifa Medical Center,"F-11 Markaz, Islamabad",051-2228231,7%,Islamabad,Islamabad
18,Shifa Medical Center,"G-10, Markaz, Islamabad",051-2352983,7%,Islamabad,Islamabad
19,Maroof International,"10th Avenue,F-10 Markaz",051-2222920,7%,Islamabad,Islamabad
20,Quaide Azam Internationa Hospital,Peshawar Road,051 8449100,7%,Islamabad,Islamabad
21,Excel laboratory,"110 Fazle Haq Road , The Reshi Building, Blue Area",051-831 1000,20%,Islamabad,Islamabad
22,Excel laboratory,"Excel Laboratory , F-8 Markaz",051-228-1230,20%,Islamabad,Islamabad
23,Excel laboratory,"Excel Laboratory , F-10Markaz",051-229-2228,20%,Islamabad,Islamabad
24,Excel laboratory,"Excel Laboratory , I-8 Markaz Islamabad",051-835-6615,20%,Islamabad,Islamabad
25,Excel laboratory,"Excel Lab I-10, Markaz Islamabad",051-831-2092,20%,Islamabad,Islamabad
26,Excel laboratory,"Excel Lab G-11, Markaz Islamabad",051-835-0050,20%,Islamabad,Islamabad
27,Excel laboratory,Excel Lab PWD Society Islamabad,051-431-3367,20%,Islamabad,Islamabad
28,Islamabad Diagnostic,"13-A Kohistan Road, F-8 Markaz",051-2251212,Variable Discount,Islamabad,Islamabad
29,Islamabad Diagnostic,"Islamabad Diagnositc Center G-9, Branch House # 529, Street 53, Rohtas Road, Islamabad",051-2853737,Variable Discount,Islamabad,Islamabad
30,Islamabad Diagnostic,"IIMC-Islamic International Medical Complex Hospital , G 7/4 Seventh Avenue, Islamabad",051-2891133,Variable Discount,Islamabad,Islamabad
31,Islamabad Diagnostic,"G-11 Branch, silver city Plaza, Shop B-1, Basement Soneri Bank, G-11 Markaz, Islamabad",051-2830123,Variable Discount,Islamabad,Islamabad
32,Islamabad Diagnostic,"F-10, Point, Capital Trade Center Adjacent to Paprika",051-2223080,Variable Discount,Islamabad,Islamabad
33,Islamabad Diagnostic,"IDC Wajid X Ray and Ultrasound Khyber Plaza, Blue Area Islamabad, Islamabad",051-2804226,Variable Discount,Islamabad,Islamabad
34,Islamabad Diagnostic,"IDC I-8 Markaz, Plot # 35, Office 8,Ground Floor Ahmed Center, Sector I-8, Islamabad",051-4864884,Variable Discount,Islamabad,Islamabad
35,Islamabad Diagnostic,"IDC HP Point, Huma Plaza, Near Al Rehman Masjid, Opp OGDC Buliding, Blue Area, Islamabad",051-2277244,Variable Discount,Islamabad,Islamabad
36,Islamabad Diagnostic,"IDC SP Point, Saleem Plaza, Near Al Rehman Masjid, Opp.OGDC,Building Blue Area, Islamabad",051-2275548,Variable Discount,Islamabad,Islamabad
37,Islamabad Diagnostic,"IDC G-10,Islambad Branch,Ground Floor,Life Care Hospital,G-10,Floor,Life Care Hospital,G-10,",051-2353322,20%,Islamabad,Islamabad
38,Chughtai Laboratory,Islamabad-PP: Soan Garden,03111-456-789,10%,Islamabad,Islamabad
39,Chughtai Laboratory,Rawalpindi-PP: Chaklala Scheme-3,03111-456-789,10%,Islamabad,Islamabad
